frame,time_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y
0,0.0,1,5,car,0.9204685091972351,133.6790771484375,493.75213623046875,329.8974609375,655.6748657226562,231.78826904296875,574.7135009765625
0,0.0,2,5,car,0.8863304257392883,399.49078369140625,457.4029541015625,539.0863647460938,591.2022705078125,469.28857421875,524.3026123046875
0,0.0,3,15,suv,0.8625861406326294,120.09599304199219,317.581298828125,249.2384796142578,418.7955322265625,184.667236328125,368.18841552734375
0,0.0,4,10,motorbike,0.8570567965507507,47.268409729003906,401.501708984375,111.1216049194336,509.68603515625,79.19500732421875,455.5938720703125
0,0.0,5,5,car,0.8436937928199768,603.531494140625,400.43115234375,744.056640625,533.649658203125,673.7940673828125,467.0404052734375
0,0.0,6,10,motorbike,0.8331882953643799,289.79638671875,302.16290283203125,336.232177734375,354.35357666015625,313.0142822265625,328.25823974609375
0,0.0,7,13,rickshaw,0.8241323828697205,998.1708984375,299.997802734375,1079.451171875,377.1690673828125,1038.81103515625,338.58343505859375
0,0.0,8,5,car,0.7872896790504456,439.43707275390625,147.8233184814453,516.7665405273438,178.92396545410156,478.101806640625,163.37364196777344
0,0.0,9,11,pickup,0.6779647469520569,574.7127685546875,275.6755676269531,685.22607421875,406.4398498535156,629.9694213867188,341.0577087402344
0,0.0,10,15,suv,0.6321296095848083,246.41360473632812,350.822021484375,373.3490905761719,458.30511474609375,309.88134765625,404.5635681152344
0,0.0,11,15,suv,0.5132582187652588,123.39102172851562,195.24362182617188,282.3661193847656,286.0002746582031,202.87857055664062,240.6219482421875
0,0.0,12,5,car,0.4739570617675781,159.0867156982422,137.3951416015625,201.4329376220703,162.00115966796875,180.25982666015625,149.69815063476562
0,0.0,13,4,bus,0.4348085820674896,421.62725830078125,328.4271240234375,528.9253540039062,441.6365966796875,475.27630615234375,385.0318603515625
0,0.0,14,4,bus,0.3980807662010193,176.22918701171875,100.990478515625,237.12005615234375,143.3367919921875,206.67462158203125,122.16363525390625
0,0.0,15,5,car,0.3371858596801758,368.7559814453125,645.46337890625,546.7327880859375,674.0,457.744384765625,659.731689453125
0,0.0,16,5,car,0.3302551507949829,387.02520751953125,643.3590087890625,549.9000854492188,674.0,468.462646484375,658.6795043945312
0,0.0,17,13,rickshaw,0.3297160267829895,1096.686767578125,310.8630676269531,1139.143798828125,378.4035949707031,1117.915283203125,344.6333312988281
0,0.0,18,11,pickup,0.3231624960899353,422.92767333984375,329.15960693359375,529.958251953125,440.37542724609375,476.4429626464844,384.76751708984375
0,0.0,19,5,car,0.2867179811000824,316.66033935546875,125.61566162109375,353.29205322265625,157.79266357421875,334.9761962890625,141.70416259765625
0,0.0,20,15,suv,0.26391202211380005,208.78271484375,129.3046417236328,262.04949951171875,160.0364227294922,235.41610717773438,144.6705322265625
1,0.08333333333333333,1,5,car,0.9207548499107361,133.6114501953125,493.8513488769531,330.2644348144531,656.1359252929688,231.9379425048828,574.99365234375
